                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10398      4.5999999999999996E+000      1.4000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56 
                                star_age                                star_mass                                   log_dt                           mass_conv_core                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                  extra_L                              log_extra_L                                 log_Teff                                    log_L                                    log_R                                    log_g                             log_center_T                           log_center_Rho                             log_center_P                        center_degeneracy                             center_gamma                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_c13                               center_n13                               center_n14                               center_o16                               center_o18                               surface_h1                            total_mass_h1                           total_mass_he4                           total_mass_c12                           total_mass_o16                                       pp                                      cno                                 tri_alfa                                   burn_c                                  c12_c12                                  c12_o16                                  o16_o16              total_internal_energy_start         total_gravitational_energy_start                       total_energy_start                    total_internal_energy               total_gravitational_energy                             total_energy                           total_eps_grav                      total_extra_heating           total_energy_sources_and_sinks 
                 1.0000000000000001E-005                  4.5999999999997332E+000                 -4.9999999999999991E+000                  3.1228088830360674E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1450916409479657E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.6095951418232395E+000                  3.5578506411017288E+000                  2.0829938733570108E+000                  9.3465943838065235E-001                  5.4783017290567377E+000                 -4.5602768624952290E+000                  9.0578962591713701E+000                 -1.0943834966360550E+001                  2.5173595547542511E-002                  6.1210196636004821E-001                  8.5899893522242743E-001                  1.2724989834876512E+000                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4091251279941914E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571096437237722E-004                  6.5375630549881674E-003                  1.4751440853781611E-005                  7.1799999999999997E-001                  3.3027999999998094E+000                  1.2326688052687229E+000                  1.1081975588772634E-002                  3.0072790052943856E-002                 -2.1450916409479657E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  4.5199197791828314E+047                 -6.0821183676538527E+047                 -1.5621985884710214E+047                  4.5199198525807877E+047                 -6.0821184843031364E+047                 -1.5621985824767473E+047                  4.3802301398409378E+039                  0.0000000000000000E+000                 -4.3802301398322625E+039 
                 2.2000000000000003E-005                  4.5999999999994134E+000                 -4.9208187539523749E+000                  3.1226192680207783E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1450916270406726E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.6094751014274533E+000                  3.5573629924538532E+000                  2.0829901298246463E+000                  9.3466692544535146E-001                  5.4783016750333271E+000                 -4.5602767641562831E+000                  9.0578962985675826E+000                 -1.0943834559023223E+001                  2.5173600579025558E-002                  6.1210196635921510E-001                  8.5899893522242754E-001                  1.2724989834876512E+000                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4091251279941914E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571096437237722E-004                  6.5375630549881674E-003                  1.4751440853781610E-005                  7.1799999999999997E-001                  3.3027999999995790E+000                  1.2326688052686374E+000                  1.1081975588771867E-002                  3.0072790052941733E-002                 -2.1450916270406726E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  4.5199198525806976E+047                 -6.0821184843026326E+047                 -1.5621986317219350E+047                  4.5199199403615077E+047                 -6.0821186239370933E+047                 -1.5621986351537834E+047                  5.2503774571673737E+039                  0.0000000000000000E+000                 -5.2503774572358098E+039 
                 3.6400000000000004E-005                  4.5999999999990298E+000                 -4.8416375079047498E+000                  3.1223874541805758E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1450916103583378E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.6093336744855100E+000                  3.5567884128788867E+000                  2.0829856939210494E+000                  9.3467579725250860E-001                  5.4783016134633451E+000                 -4.5602766498504650E+000                  9.0578963456549797E+000                 -1.0943834089765790E+001                  2.5173606356445062E-002                  6.1210196635790803E-001                  8.5899893522242743E-001                  1.2724989834876512E+000                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4091251279941914E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571096437237722E-004                  6.5375630549881674E-003                  1.4751440853781611E-005                  7.1799999999999986E-001                  3.3027999999993036E+000                  1.2326688052685340E+000                  1.1081975588770936E-002                  3.0072790052939224E-002                 -2.1450916103583378E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  4.5199199403613998E+047                 -6.0821186239364953E+047                 -1.5621986835750956E+047                  4.5199200452720255E+047                 -6.0821187910036030E+047                 -1.5621986982705570E+047                  6.2921228453216466E+039                  0.0000000000000000E+000                 -6.2921228453848734E+039 
                 5.3680000000000001E-005                  4.5999999999985715E+000                 -4.7624562618571247E+000                  3.1221030729540797E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1450915903481267E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.6091676125121315E+000                  3.5561136766227612E+000                  2.0829804497397433E+000                  9.3468628561507738E-001                  5.4783015439797103E+000                 -4.5602765176920164E+000                  9.0578964018958992E+000                 -1.0943833553080028E+001                  2.5173612937514928E-002                  6.1210196635592595E-001                  8.5899893522242743E-001                  1.2724989834876512E+000                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4091251279941914E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571096437237722E-004                  6.5375630549881674E-003                  1.4751440853781611E-005                  7.1799999999999986E-001                  3.3027999999989754E+000                  1.2326688052684107E+000                  1.1081975588769838E-002                  3.0072790052936227E-002                 -2.1450915903481267E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  4.5199200452719006E+047                 -6.0821187910028923E+047                 -1.5621987457309917E+047                  4.5199201705624424E+047                 -6.0821189907853717E+047                 -1.5621987738735802E+047                  7.5388257077554046E+039                  0.0000000000000000E+000                 -7.5388257077581598E+039 
                 7.4416000000000000E-005                  4.5999999999980208E+000                 -4.6832750158095005E+000                  3.1217527986290053E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1450915663476149E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.6089733788872609E+000                  3.5553243760684676E+000                  2.0829742667123385E+000                  9.3469865166983557E-001                  5.4783014664756182E+000                 -4.5602763658079715E+000                  9.0578964690152262E+000                 -1.0943832944382574E+001                  2.5173620364614863E-002                  6.1210196635299796E-001                  8.5899893522242743E-001                  1.2724989834876512E+000                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4091251279941914E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571096437237722E-004                  6.5375630549881674E-003                  1.4751440853781611E-005                  7.1799999999999986E-001                  3.3027999999985798E+000                  1.2326688052682635E+000                  1.1081975588768509E-002                  3.0072790052932639E-002                 -2.1450915663476149E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  4.5199201705622899E+047                 -6.0821189907845109E+047                 -1.5621988202222210E+047                  4.5199203200614907E+047                 -6.0821192295391259E+047                 -1.5621988644066372E+047                  9.0301642201605558E+039                  0.0000000000000000E+000                 -9.0301642200716852E+039 
                 9.9299199999999986E-005                  4.5999999999973618E+000                 -4.6040937697618753E+000                  3.1213193440114830E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1450915375624323E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.6087472056202716E+000                  3.5544051487061177E+000                  2.0829669995651416E+000                  9.3471318596416708E-001                  5.4783013812174266E+000                 -4.5602761924160955E+000                  9.0578965490431553E+000                 -1.0943832260579075E+001                  2.5173628656741869E-002                  6.1210196634876557E-001                  8.5899893522242754E-001                  1.2724989834876512E+000                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4091251279941914E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571096437237722E-004                  6.5375630549881674E-003                  1.4751440853781610E-005                  7.1799999999999986E-001                  3.3027999999981068E+000                  1.2326688052680879E+000                  1.1081975588766921E-002                  3.0072790052928341E-002                 -2.1450915375624323E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  4.5199203200613098E+047                 -6.0821192295380956E+047                 -1.5621989094767858E+047                  4.5199204982683922E+047                 -6.0821195146625039E+047                 -1.5621989727822775E+047                  1.0813285433822578E+040                  0.0000000000000000E+000                 -1.0813285433738002E+040 
                 1.2915903999999998E-004                  4.5999999999965739E+000                 -4.5249125237142502E+000                  3.1207800544665227E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1450915030581605E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.6084856349349743E+000                  3.5533418380862738E+000                  2.0829584856258143E+000                  9.3473021384274679E-001                  5.4783012889610658E+000                 -4.5602759959285146E+000                  9.0578966443365765E+000                 -1.0943831500698186E+001                  2.5173637800759943E-002                  6.1210196634276459E-001                  8.5899893522242754E-001                  1.2724989834876512E+000                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4091251279941914E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571096437237722E-004                  6.5375630549881665E-003                  1.4751440853781611E-005                  7.1799999999999997E-001                  3.3027999999975406E+000                  1.2326688052678760E+000                  1.1081975588765025E-002                  3.0072790052923175E-002                 -2.1450915030581605E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  4.5199204982681723E+047                 -6.0821195146608278E+047                 -1.5621990163926555E+047                  4.5199207102989287E+047                 -6.0821198547549959E+047                 -1.5621991024429951E+047                  1.2944211560827708E+040                  0.0000000000000000E+000                 -1.2944211560868062E+040 
                 1.6499084799999998E-004                  4.5999999999956307E+000                 -4.4457312776666260E+000                  3.1201049211884940E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1450914615904420E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.6081825609335141E+000                  3.5521096421134835E+000                  2.0829485356423407E+000                  9.3475011380960538E-001                  5.4783011911553547E+000                 -4.5602757749212666E+000                  9.0578967578238281E+000                 -1.0943830666523045E+001                  2.5173647740202833E-002                  6.1210196633436731E-001                  8.5899893522242754E-001                  1.2724989834876512E+000                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4091251279941914E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571096437237722E-004                  6.5375630549881674E-003                  1.4751440853781610E-005                  7.1799999999999986E-001                  3.3027999999968647E+000                  1.2326688052676233E+000                  1.1081975588762748E-002                  3.0072790052917010E-002                 -2.1450914615904420E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  4.5199207102986690E+047                 -6.0821198547532873E+047                 -1.5621991444546182E+047                  4.5199209630860326E+047                 -6.0821202608128813E+047                 -1.5621992574836131E+047                  1.5489045393006425E+040                  0.0000000000000000E+000                 -1.5489045392928116E+040 
                 2.0798901759999997E-004                  4.5999999999945009E+000                 -4.3665500316190009E+000                  3.1192537418261399E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1450914118409777E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.6078354080580355E+000                  3.5506979385536397E+000                  2.0829369896133758E+000                  9.3477320586742829E-001                  5.4783010899164912E+000                 -4.5602755284382956E+000                  9.0578968926794161E+000                 -1.0943829763187665E+001                  2.5173658370879686E-002                  6.1210196632283598E-001                  8.5899893522242754E-001                  1.2724989834876512E+000                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4091251279941914E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571096437237722E-004                  6.5375630549881674E-003                  1.4751440853781610E-005                  7.1799999999999997E-001                  3.3027999999960502E+000                  1.2326688052673200E+000                  1.1081975588760035E-002                  3.0072790052909623E-002                 -2.1450914118409777E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  4.5199209630857203E+047                 -6.0821202608111191E+047                 -1.5621992977253988E+047                  4.5199212633589282E+047                 -6.0821207445037939E+047                 -1.5621994429633232E+047                  1.8526534734846123E+040                  0.0000000000000000E+000                 -1.8526534734893979E+040 
