                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        9793      3.6000000000000001E+000      1.4000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103 
                            model_number                                 star_age                                star_mass                                   log_dt                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                             kh_timescale                            nuc_timescale                                   log_LH                                  log_LHe                                   log_LZ                                  extra_L                              log_extra_L                  mass_loc_of_max_eps_nuc                        eps_grav_integral                                 log_Teff                                    log_L                                    log_R                                    log_g                             log_center_T                           log_center_Rho                             log_center_P                        center_degeneracy                             center_gamma                                center_mu                                center_ye                              center_abar                          center_eps_grav                           center_eps_nuc                                center_h1                               center_he4                               center_c12                               center_c13                               center_n13                               center_n14                               center_o16                               center_o18                               surface_h1                            total_mass_h1                           total_mass_he4                           total_mass_c12                           total_mass_o16                                       pp                                  c12_c12                                  c12_o16                                  o16_o16                              max_eps_nuc                          max_eps_nuc_lgT                        max_eps_nuc_lgRho                            max_eps_nuc_m                          max_eps_nuc_lgP                      max_eps_nuc_opacity              total_internal_energy_start         total_gravitational_energy_start                       total_energy_start                    total_internal_energy               total_gravitational_energy                             total_energy                           total_eps_grav                    total_nuclear_heating                total_non_nuc_neu_cooling                      total_extra_heating           total_energy_sources_and_sinks                              num_retries                              num_backups                    num_newton_iterations                                    max_T                                wimp_temp                                 Nx_total                                center_nx                                center_np                                       h1                                      he3                                      he4                                      c12                                      n14                                      o16                                      o18                                     ne20                                     ne22                                     mg24 
                                       1                  1.0000000000000001E-005                  3.5999999999998074E+000                 -4.9999999999999991E+000                                      516                  2.4443652802996811E-004                  9.9998670940488010E-001                  1.7275910911137653E-003                  3.9001583845510446E-005                  7.8137790016086228E-008                  9.9999237337469760E-001                  2.4207455886430032E-004                  3.9001583845510446E-005                  7.8137790016086228E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2309409753650166E+003                  1.4098807690115035E+007                 -2.1368425601584612E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.4064802202894770E-007                  2.5534074080710507E+003                  3.6204958478183853E+000                  3.4071201140337566E+000                  1.9858271978327346E+000                  1.0225374585149198E+000                  5.4780016608048996E+000                 -4.3609543655869309E+000                  9.2538263979520732E+000                 -1.0485625531016856E+001                  2.9355274838795953E-002                  6.1209928064245755E-001                  8.5899893522392012E-001                  1.2724989833994209E+000                  3.2616871859554063E+004                  7.9990208504066239E-021                  7.1800000000000008E-001                  2.6797147940625970E-001                  2.4091274275684291E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571098278562297E-004                  6.5375611897529416E-003                  1.4751436645041001E-005                  7.1799999999999997E-001                  2.5847999999998619E+000                  9.6469732586248313E-001                  8.6728587392458836E-003                  2.3535220283109341E-002                 -2.1368425601584612E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  7.9990208504066254E-021                  5.4780016608049005E+000                 -4.3609543655869318E+000                  0.0000000000000000E+000                  9.2538263979520750E+000                  2.7450224524485442E+001                  3.5009584924807954E+047                 -4.7154454646042011E+047                 -1.2144869721234057E+047                  3.5009585214230516E+047                 -4.7154455240682474E+047                 -1.2144869635761163E+047                  3.0957537104910312E+039                  5.1906373387485725E+014                  0.0000000000000000E+000                  0.0000000000000000E+000                 -3.0957537104127116E+039                                        0                                        0                                        3                  3.0060877983206831E+005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  7.4416000000000000E-005                  3.5999999999985723E+000                 -4.6832750158095005E+000                                      520                  2.4437454489236653E-004                  9.9998584823294390E-001                  1.7275913554260674E-003                  3.9001583844733290E-005                  7.8137789238930111E-008                  9.9998837361617798E-001                  2.4208692823492349E-004                  3.9001583844733290E-005                  7.8137789238930111E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2408092051047640E+003                  1.4210893438300403E+007                 -2.1368425279755154E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.4064802063001842E-007                  2.5332678874892449E+003                  3.6196504897395592E+000                  3.4036811179046502E+000                  1.9857984159258342E+000                  1.0225950223285718E+000                  5.4780014898051199E+000                 -4.3609540336459496E+000                  9.2538265482710695E+000                 -1.0485624166228078E+001                  2.9355293876157682E-002                  6.1209928080796883E-001                  8.5899893522392012E-001                  1.2724989833994209E+000                  2.7155367096714854E+004                  7.9989761540427356E-021                  7.1800000000000008E-001                  2.6797147940625970E-001                  2.4091274275684291E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571098278562297E-004                  6.5375611897529416E-003                  1.4751436645041003E-005                  7.1800000000000008E-001                  2.5847999999989768E+000                  9.6469732586215196E-001                  8.6728587392429085E-003                  2.3535220283101271E-002                 -2.1368425279755154E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  7.9989761540427372E-021                  5.4780014898051199E+000                 -4.3609540336459496E+000                  0.0000000000000000E+000                  9.2538265482710695E+000                  2.7450278189615517E+001                  3.5009586472006268E+047                 -4.7154457827895585E+047                 -1.2144871355889317E+047                  3.5009587065407095E+047                 -4.7154459050009710E+047                 -1.2144871623289985E+047                  6.3687234399621478E+039                  1.0763313561668861E+015                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.3687234399988919E+039                                        0                                        0                                        3                  3.0060866146992642E+005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      10                  2.5958682111999992E-004                  3.5999999999950689E+000                 -4.2873687855713767E+000                                      518                  2.4416391125229106E-004                  9.9998584823294390E-001                  1.7275920771854332E-003                  3.9001583845177379E-005                  7.8137789683019321E-008                  9.9998713207929180E-001                  2.4212901443296982E-004                  3.9001583845177379E-005                  7.8137789683019321E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2656930319128116E+003                  1.4493379443088250E+007                 -2.1368424293759027E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.4064802142924213E-007                  2.4838927416010488E+003                  3.6175509713418919E+000                  3.3951328383899266E+000                  1.9857233129638066E+000                  1.0227452282522043E+000                  5.4780011848054082E+000                 -4.3609532894854537E+000                  9.2538269665875994E+000                 -1.0485621376960637E+001                  2.9355331258741423E-002                  6.1209928112827960E-001                  8.5899893522392012E-001                  1.2724989833994207E+000                  1.7123926530408746E+004                  7.9988992490226291E-021                  7.1800000000000008E-001                  2.6797147940625970E-001                  2.4091274275684291E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571098278562297E-004                  6.5375611897529407E-003                  1.4751436645041001E-005                  7.1800000000000019E-001                  2.5847999999964588E+000                  9.6469732586121271E-001                  8.6728587392344604E-003                  2.3535220283078355E-002                 -2.1368424293759027E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  7.9988992490226291E-021                  5.4780011848054091E+000                 -4.3609532894854537E+000                  0.0000000000000000E+000                  9.2538269665875994E+000                  2.7450381130203951E+001                  3.5009590856985587E+047                 -4.7154466859032979E+047                 -1.2144876002047391E+047                  3.5009592307913687E+047                 -4.7154469847734846E+047                 -1.2144877242074727E+047                  1.5538544679799493E+040                  2.6782629207376930E+015                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5538544679796877E+040                                        0                                        0                                        3                  3.0060845035620843E+005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      15                  7.2035107872931792E-004                  3.5999999999865864E+000                 -3.8914625553332525E+000                                      521                  2.4340610213962428E-004                  9.9998584823294390E-001                  1.7275937296775440E-003                  3.9001583845621468E-005                  7.8137790016086228E-008                  9.9998604429783822E-001                  2.4228086477403167E-004                  3.9001583845621468E-005                  7.8137790016086228E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3121699644960893E+003                  1.5020355509234445E+007                 -2.1368421533576107E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.4064802202843114E-007                  2.3967475322238283E+003                  3.6137489109056427E+000                  3.3796222888783705E+000                  1.9855721590805262E+000                  1.0230475360177420E+000                  5.4780009855721019E+000                 -4.3609520972009603E+000                  9.2538279372096834E+000                 -1.0485617906764226E+001                  2.9355371588996378E-002                  6.1209928145407155E-001                  8.5899893522392012E-001                  1.2724989833994209E+000                  7.1262489045682296E+003                  7.9988620872040813E-021                  7.1800000000000008E-001                  2.6797147940625970E-001                  2.4091274275684291E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571098278562297E-004                  6.5375611897529416E-003                  1.4751436645041001E-005                  7.1800000000000019E-001                  2.5847999999903708E+000                  9.6469732585894052E-001                  8.6728587392140375E-003                  2.3535220283022903E-002                 -2.1368421533576107E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  7.9988620872040813E-021                  5.4780009855721019E+000                 -4.3609520972009603E+000                  0.0000000000000000E+000                  9.2538279372096852E+000                  2.7450481903351349E+001                  3.5009601437028108E+047                 -4.7154488724706541E+047                 -1.2144887287678434E+047                  3.5009604879596826E+047                 -4.7154495870051529E+047                 -1.2144890789064314E+047                  3.7308348220376223E+040                  6.6644175468746250E+015                  0.0000000000000000E+000                  0.0000000000000000E+000                 -3.7308348220359250E+040                                        0                                        0                                        4                  3.0060831245161960E+005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      20                  1.8668799962237360E-003                  3.5999999999663843E+000                 -3.4955563250951283E+000                                      518                  2.3971029545808705E-004                  9.9998514641259573E-001                  1.7275976037891064E-003                  3.9001583845954535E-005                  7.8137790016086228E-008                  9.9998544866452144E-001                  2.4302643512810469E-004                  3.9001583845954535E-005                  7.8137790016086228E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3807752064054466E+003                  1.5796360977708984E+007                 -2.1368413903112629E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.4064802202764189E-007                  2.2790059084146305E+003                  3.6084077263646721E+000                  3.3577454511079532E+000                  1.9853161092772582E+000                  1.0235596356218406E+000                  5.4780013783925945E+000                 -4.3609503257208395E+000                  9.2538300942869487E+000                 -1.0485615127723136E+001                  2.9355384950350047E-002                  6.1209928149214643E-001                  8.5899893522392012E-001                  1.2724989833994209E+000                  1.7521991772576691E+003                  7.9990116774461004E-021                  7.1800000000000008E-001                  2.6797147940625970E-001                  2.4091274275684291E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571098278562297E-004                  6.5375611897529416E-003                  1.4751436645041001E-005                  7.1800000000000008E-001                  2.5847999999758642E+000                  9.6469732585352674E-001                  8.6728587391653577E-003                  2.3535220282890821E-002                 -2.1368413903112629E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  7.9990116774461004E-021                  5.4780013783925945E+000                 -4.3609503257208395E+000                  0.0000000000000000E+000                  9.2538300942869487E+000                  2.7450478938635374E+001                  3.5009625990063986E+047                 -4.7154540244747333E+047                 -1.2144914254683347E+047                  3.5009633738022854E+047                 -4.7154556780762871E+047                 -1.2144922938960119E+047                  8.8274530034734999E+040                  1.6583494836225388E+016                  0.0000000000000000E+000                  0.0000000000000000E+000                 -8.8274530034771170E+040                                        0                                        0                                        4                  3.0060858435274620E+005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      25                  4.7198108322034464E-003                  3.5999999999187171E+000                 -3.0996500948570045E+000                                      519                  2.1473054457542916E-004                  9.9998479083829939E-001                  1.7276069450600738E-003                  3.9001583846287602E-005                  7.8137789794041623E-008                  9.9998763351203201E-001                  2.4820986103566648E-004                  3.9001583846287602E-005                  7.8137789794041623E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4555105878362399E+003                  1.6637926152803693E+007                 -2.1368393931762355E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.4064802162609928E-007                  2.1637312047525738E+003                  3.6029473137676509E+000                  3.3352033084015198E+000                  1.9849658631180835E+000                  1.0242601279344394E+000                  5.4780029798174983E+000                 -4.3609472695108797E+000                  9.2538347744613816E+000                 -1.0485613520658582E+001                  2.9355345564571259E-002                  6.1209928095979349E-001                  8.5899893522392012E-001                  1.2724989833994209E+000                  2.6724304548280327E+002                  7.9995444170658297E-021                  7.1800000000000008E-001                  2.6797147940625970E-001                  2.4091274275684291E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571098278562297E-004                  6.5375611897529416E-003                  1.4751436645041001E-005                  7.1800000000000008E-001                  2.5847999999416404E+000                  9.6469732584075296E-001                  8.6728587390505173E-003                  2.3535220282579206E-002                 -2.1368393931762355E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  7.9995444170658282E-021                  5.4780029798174983E+000                 -4.3609472695108789E+000                  0.0000000000000000E+000                  9.2538347744613816E+000                  2.7450269066860457E+001                  3.5009679776182579E+047                 -4.7154657934992216E+047                 -1.2144978158809637E+047                  3.5009696409554899E+047                 -4.7154695401779336E+047                 -1.2144998950248687E+047                  2.0854486545592158E+041                  4.1266939517723656E+016                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0854486545590347E+041                                        0                                        0                                        4                  3.0060969282402762E+005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      30                  1.1818815689988476E-002                  3.5999999998056760E+000                 -2.7037438646188803E+000                                      519                  1.4039195556560133E-004                  9.9998416066973883E-001                  1.7276251966942928E-003                  2.4501610489946479E-005                  7.8137790238130833E-008                  9.9998416066973883E-001                  1.7276251966942928E-003                  2.4501610489946479E-005                  7.8137790238130833E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5167316511919996E+003                  1.7322062208918139E+007                 -2.1368342513207441E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.4064802242104349E-007                  2.0782744897153179E+003                  3.5987687029471438E+000                  3.3177029067899895E+000                  1.9845728839533334E+000                  1.0250460862503028E+000                  5.4780069339650410E+000                 -4.3609408728558403E+000                  9.2538451952642067E+000                 -1.0485612235650715E+001                  2.9355222414839510E-002                  6.1209927945553955E-001                  8.5899893522392012E-001                  1.2724989833994209E+000                  3.7472930576354166E+001                  8.0008386888152899E-021                  7.1800000000000008E-001                  2.6797147940625970E-001                  2.4091274275684291E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571098278562297E-004                  6.5375611897529416E-003                  1.4751436645041001E-005                  7.1799999999999997E-001                  2.5847999998604760E+000                  9.6469732581046186E-001                  8.6728587387781952E-003                  2.3535220281840196E-002                 -2.1368342513207441E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  8.0008386888152899E-021                  5.4780069339650401E+000                 -4.3609408728558403E+000                  0.0000000000000000E+000                  9.2538451952642067E+000                  2.7449696288106065E+001                  3.5009797101384248E+047                 -4.7154927266536267E+047                 -1.2145130165152019E+047                  3.5009834699316053E+047                 -4.7155014706423979E+047                 -1.2145179990339239E+047                  4.9843132679887678E+041                  1.0269750915400286E+017                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9843132679888274E+041                                        0                                        0                                        4                  3.0061242981595045E+005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      35                  2.9483411457712123E-002                  3.5999999995337322E+000                 -2.3078376343807565E+000                                      520                  1.3843690346059505E-004                  9.9998416066973883E-001                  1.7276326565957565E-003                  2.4501610491278747E-005                  7.8137789683019321E-008                  9.9998965323238342E-001                  1.7276326565957565E-003                  2.4501610491278747E-005                  7.8137789683019321E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5558433168046770E+003                  1.7753105097725481E+007                 -2.1368207902545006E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.4064802141121819E-007                  2.0278142779624886E+003                  3.5962912098272648E+000                  3.3070281766230587E+000                  1.9841905051096265E+000                  1.0258108439049101E+000                  5.4780164198010173E+000                 -4.3609258465619600E+000                  9.2538698793046539E+000                 -1.0485609897860735E+001                  2.9354919798174339E-002                  6.1209927579391343E-001                  8.5899893522392012E-001                  1.2724989833994207E+000                  1.7590877459377801E+001                  8.0039385217646455E-021                  7.1800000000000008E-001                  2.6797147940625970E-001                  2.4091274275684291E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571098278562297E-004                  6.5375611897529407E-003                  1.4751436645041001E-005                  7.1799999999999997E-001                  2.5847999996652207E+000                  9.6469732573758948E-001                  8.6728587381230422E-003                  2.3535220280062361E-002                 -2.1368207902545006E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  8.0039385217646455E-021                  5.4780164198010164E+000                 -4.3609258465619600E+000                  0.0000000000000000E+000                  9.2538698793046539E+000                  2.7448307107081117E+001                  3.5010076620663682E+047                 -4.7155572934076251E+047                 -1.2145496313412569E+047                  3.5010172158241486E+047                 -4.7155789449155919E+047                 -1.2145617281683418E+047                  1.2101433826720464E+042                  2.5562348483979238E+017                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.2101433826720784E+042                                        0                                        0                                        3                  3.0061899584766949E+005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      40                  7.3438578398454205E-002                  3.5999999988698979E+000                 -1.9119314041426323E+000                                      517                  8.8067963008014961E-005                  9.9998416066973883E-001                  8.5913010526453585E-004                  1.7251623816050277E-005                  7.8137790793242345E-008                  9.9998763351203201E-001                  8.5913010526453585E-004                  1.7251623816050277E-005                  7.8137790793242345E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5760941007063382E+003                  1.7970193030530408E+007                 -2.1367847859781936E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.4064802338368439E-007                  2.0033173782572903E+003                  3.5951405386692863E+000                  3.3017497584332802E+000                  1.9838526383306938E+000                  1.0264865773826921E+000                  5.4780404187646257E+000                 -4.3608878953180472E+000                  9.2539322652629945E+000                 -1.0485604136984859E+001                  2.9354152734796368E-002                  6.1209926651729973E-001                  8.5899893522391990E-001                  1.2724989833994209E+000                  1.6304615734464157E+001                  8.0117850969599318E-021                  7.1800000000000008E-001                  2.6797147940625970E-001                  2.4091274275684291E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571098278562297E-004                  6.5375611897529416E-003                  1.4751436645041000E-005                  7.1799999999999997E-001                  2.5847999991885873E+000                  9.6469732555970023E-001                  8.6728587365237919E-003                  2.3535220275722499E-002                 -2.1367847859781936E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  8.0117850969599318E-021                  5.4780404187646257E+000                 -4.3608878953180472E+000                  0.0000000000000000E+000                  9.2539322652629945E+000                  2.7444789666534401E+001                  3.5010826493570172E+047                 -4.7157217112500619E+047                 -1.2146390618930447E+047                  3.5011094013322891E+047                 -4.7157782045547160E+047                 -1.2146688025107163E+047                  2.9748470550113287E+042                  6.3660057149089370E+017                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.9748470550112767E+042                                        0                                        0                                        3                  3.0063560840892117E+005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
