                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        9793      3.2000000000000002E+000      1.4000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103 
                            model_number                                 star_age                                star_mass                                   log_dt                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                             kh_timescale                            nuc_timescale                                   log_LH                                  log_LHe                                   log_LZ                                  extra_L                              log_extra_L                  mass_loc_of_max_eps_nuc                        eps_grav_integral                                 log_Teff                                    log_L                                    log_R                                    log_g                             log_center_T                           log_center_Rho                             log_center_P                        center_degeneracy                             center_gamma                                center_mu                                center_ye                              center_abar                          center_eps_grav                           center_eps_nuc                                center_h1                               center_he4                               center_c12                               center_c13                               center_n13                               center_n14                               center_o16                               center_o18                               surface_h1                            total_mass_h1                           total_mass_he4                           total_mass_c12                           total_mass_o16                                       pp                                  c12_c12                                  c12_o16                                  o16_o16                              max_eps_nuc                          max_eps_nuc_lgT                        max_eps_nuc_lgRho                            max_eps_nuc_m                          max_eps_nuc_lgP                      max_eps_nuc_opacity              total_internal_energy_start         total_gravitational_energy_start                       total_energy_start                    total_internal_energy               total_gravitational_energy                             total_energy                           total_eps_grav                    total_nuclear_heating                total_non_nuc_neu_cooling                      total_extra_heating           total_energy_sources_and_sinks                              num_retries                              num_backups                    num_newton_iterations                                    max_T                                wimp_temp                                 Nx_total                                center_nx                                center_np                                       h1                                      he3                                      he4                                      c12                                      n14                                      o16                                      o18                                     ne20                                     ne22                                     mg24 
                                       1                  1.0000000000000001E-005                  3.1999999999998381E+000                 -4.9999999999999991E+000                                      523                  2.1725050099435505E-004                  9.9998846318128343E-001                  1.7267764553675802E-003                  3.8989704969405459E-005                  7.8136061065769979E-008                  9.9998944064290107E-001                  1.7267764553675802E-003                  3.8989704969405459E-005                  7.8136061065769979E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3037352653272303E+003                  1.5060602367378984E+007                 -2.1324254084734147E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2501769770522563E-007                  2.1247490119753343E+003                  3.6242651039443667E+000                  3.3273076359640270E+000                  1.9383824465459059E+000                  1.0662744386411975E+000                  5.4780125554440637E+000                 -4.2631414646030228E+000                  9.3505357132690392E+000                 -1.0262606872383808E+001                  3.1643138819340340E-002                  6.1211679278131126E-001                  8.5899893522392012E-001                  1.2724989833994209E+000                  2.6246068141068787E+004                  1.0036065774989746E-020                  7.1800000000000008E-001                  2.6797147940625970E-001                  2.4091274275684291E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571098278562308E-004                  6.5375611897529433E-003                  1.4751436645041001E-005                  7.1800000000000008E-001                  2.2975999999998802E+000                  8.5750873409998651E-001                  7.7092077682185695E-003                  2.0920195807208330E-002                 -2.1324254084734147E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0036065774989747E-020                  5.4780125554440628E+000                 -4.2631414646030237E+000                  0.0000000000000000E+000                  9.3505357132690392E+000                  3.2482705050687812E+001                  3.1001588855778735E+047                 -4.1781371212505271E+047                 -1.0779782356726536E+047                  3.1001589048488842E+047                 -4.1781371659032230E+047                 -1.0779782289907243E+047                  2.5760478397976680E+039                  5.7463517039808012E+014                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.5760478398102672E+039                                        0                                        0                                        6                  3.0061632094852428E+005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  7.4416000000000000E-005                  3.1999999999988029E+000                 -4.6832750158095005E+000                                      525                  2.1720329471332331E-004                  9.9998846318128343E-001                  1.7267766145199798E-003                  3.8989704969516481E-005                  7.8136061176792282E-008                  9.9999011963287965E-001                  1.7267766145199798E-003                  3.8989704969516481E-005                  7.8136061176792282E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3151629436406117E+003                  1.5191458493372126E+007                 -2.1324253868182431E+001                 -9.8999999999999986E+001                 -3.7026689466669680E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2501769788282088E-007                  2.1064468572102264E+003                  3.6233423324121907E+000                  3.3235505069443749E+000                  1.9383494251004325E+000                  1.0663404815320037E+000                  5.4780124195056272E+000                 -4.2631411892266389E+000                  9.3505358456048810E+000                 -1.0262605766447521E+001                  3.1643155412025809E-002                  6.1211679299916899E-001                  8.5899893522392012E-001                  1.2724989833994211E+000                  2.1827161214039043E+004                  1.0036021471647208E-020                  7.1800000000000008E-001                  2.6797147940625970E-001                  2.4091274275684291E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571098278562308E-004                  6.5375611897529416E-003                  1.4751436645041001E-005                  7.1800000000000008E-001                  2.2975999999991421E+000                  8.5750873409971051E-001                  7.7092077682160880E-003                  2.0920195807201596E-002                 -2.1324253868182431E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0036021471647208E-020                  5.4780124195056272E+000                 -4.2631411892266389E+000                  0.0000000000000000E+000                  9.3505358456048810E+000                  3.2482755772573007E+001                  3.1001589885274260E+047                 -4.1781373600773687E+047                 -1.0779783715499427E+047                  3.1001590280082003E+047                 -4.1781374517985357E+047                 -1.0779783940594619E+047                  5.2956805479603366E+039                  1.1915640834854152E+015                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.2956805479909049E+039                                        0                                        0                                        6                  3.0061622685267986E+005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      10                  2.5958682111999992E-004                  3.1999999999958679E+000                 -4.2873687855713767E+000                                      525                  2.1704270521216517E-004                  9.9998846318128343E-001                  1.7267770546373603E-003                  3.8989704970182615E-005                  7.8136061842926097E-008                  9.9999078440634670E-001                  1.7267770546373603E-003                  3.8989704970182615E-005                  7.8136061842926097E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3440162900939874E+003                  1.5521669416972989E+007                 -2.1324253170827884E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2501769894852031E-007                  2.0616339093707206E+003                  3.6210505983101275E+000                  3.3142115487948134E+000                  1.9382634142297781E+000                  1.0665125032729141E+000                  5.4780121804417119E+000                 -4.2631405712233663E+000                  9.3505362106767436E+000                 -1.0262603512307368E+001                  3.1643187839949710E-002                  6.1211679340601410E-001                  8.5899893522392012E-001                  1.2724989833994209E+000                  1.3730173552487906E+004                  1.0035946667486973E-020                  7.1800000000000008E-001                  2.6797147940625970E-001                  2.4091274275684291E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571098278562308E-004                  6.5375611897529424E-003                  1.4751436645041000E-005                  7.1800000000000008E-001                  2.2975999999970327E+000                  8.5750873409892392E-001                  7.7092077682090155E-003                  2.0920195807182393E-002                 -2.1324253170827884E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0035946667486974E-020                  5.4780121804417110E+000                 -4.2631405712233654E+000                  0.0000000000000000E+000                  9.3505362106767436E+000                  3.2482852416975064E+001                  3.1001592795820726E+047                 -4.1781380368794827E+047                 -1.0779787572974101E+047                  3.1001593755694766E+047                 -4.1781382603925744E+047                 -1.0779788603256595E+047                  1.2897010437535195E+040                  2.9649975011650175E+015                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.2897010437488729E+040                                        0                                        0                                        6                  3.0061606137401093E+005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      15                  7.2035107872931792E-004                  3.1999999999887794E+000                 -3.8914625553332525E+000                                      525                  2.1646372653359871E-004                  9.9998803629229660E-001                  1.7267780965403692E-003                  3.8989704970626704E-005                  7.8136062175993004E-008                  9.9998803629229660E-001                  1.7267780965403692E-003                  3.8989704970626704E-005                  7.8136062175993004E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3983504323960515E+003                  1.6142710214438930E+007                 -2.1324251106815385E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2501769948115046E-007                  1.9823189275365487E+003                  3.6168778267200512E+000                  3.2971735277115353E+000                  1.9380899468682917E+000                  1.0668594379949250E+000                  5.4780120387819595E+000                 -4.2631395769444591E+000                  9.3505370486080857E+000                 -1.0262600724224955E+001                  3.1643222309554173E-002                  6.1211679375844497E-001                  8.5899893522392012E-001                  1.2724989833994209E+000                  5.6927206454259858E+003                  1.0035916940060921E-020                  7.1800000000000008E-001                  2.6797147940625970E-001                  2.4091274275684291E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571098278562308E-004                  6.5375611897529416E-003                  1.4751436645041003E-005                  7.1800000000000019E-001                  2.2975999999919434E+000                  8.5750873409702455E-001                  7.7092077681919328E-003                  2.0920195807136072E-002                 -2.1324251106815385E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0035916940060921E-020                  5.4780120387819595E+000                 -4.2631395769444591E+000                  0.0000000000000000E+000                  9.3505370486080857E+000                  3.2482944647377266E+001                  3.1001599833271168E+047                 -4.1781396751153263E+047                 -1.0779796917882095E+047                  3.1001602118933380E+047                 -4.1781402098602953E+047                 -1.0779799812245190E+047                  3.0857252938842112E+040                  7.3778976459494050E+015                  0.0000000000000000E+000                  0.0000000000000000E+000                 -3.0857252938907612E+040                                        0                                        0                                        6                  3.0061596331798844E+005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      20                  1.8668799962237360E-003                  3.1999999999719702E+000                 -3.4955563250951283E+000                                      525                  2.1363014113725032E-004                  9.9998730956312210E-001                  1.7267806154097607E-003                  3.8989704971181816E-005                  7.8136062509059911E-008                  9.9998730956312210E-001                  1.7267806154097607E-003                  3.8989704971181816E-005                  7.8136062509059911E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4795427352050094E+003                  1.7068345486907378E+007                 -2.1324245172923629E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2501770001340079E-007                  1.8748155774247357E+003                  3.6109723423410403E+000                  3.2729585533191896E+000                  1.9377934284301415E+000                  1.0674524748689442E+000                  5.4780123998161887E+000                 -4.2631380862553936E+000                  9.3505388963016323E+000                 -1.0262598523149427E+001                  3.1643232208634971E-002                  6.1211679357371052E-001                  8.5899893522391990E-001                  1.2724989833994207E+000                  1.3935462576412756E+003                  1.0036086250739113E-020                  7.1800000000000008E-001                  2.6797147940625970E-001                  2.4091274275684291E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571098278562308E-004                  6.5375611897529424E-003                  1.4751436645041001E-005                  7.1800000000000019E-001                  2.2975999999798753E+000                  8.5750873409251982E-001                  7.7092077681514427E-003                  2.0920195807026157E-002                 -2.1324245172923629E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0036086250739113E-020                  5.4780123998161887E+000                 -4.2631380862553936E+000                  0.0000000000000000E+000                  9.3505388963016323E+000                  3.2482933629687111E+001                  3.1001616304894903E+047                 -4.1781435485709603E+047                 -1.0779819180814700E+047                  3.1001621535603777E+047                 -4.1781447955603664E+047                 -1.0779826330706303E+047                  7.2618707739154724E+040                  1.8358821110564884E+016                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.2618707739151455E+040                                        0                                        0                                        5                  3.0061621322376031E+005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      25                  4.7198108322034464E-003                  3.1999999999325577E+000                 -3.0996500948570045E+000                                      522                  1.9430787371328969E-004                  9.9998671730179944E-001                  1.7267864793778654E-003                  3.8989704971847949E-005                  7.8136062731104516E-008                  9.9998803629229660E-001                  1.7267864793778654E-003                  3.8989704971847949E-005                  7.8136062731104516E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5707891533337211E+003                  1.8103737282881700E+007                 -2.1324229042878258E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2501770036713239E-007                  1.7675908294121455E+003                  3.6047849220477231E+000                  3.2473817396963081E+000                  1.9373798622053340E+000                  1.0682796073132101E+000                  5.4780137839202103E+000                 -4.2631354970250790E+000                  9.3505428863879327E+000                 -1.0262597312637384E+001                  3.1643194245968870E-002                  6.1211679231139815E-001                  8.5899893522392012E-001                  1.2724989833994211E+000                  2.1113159994821339E+002                  1.0036662711529621E-020                  7.1800000000000008E-001                  2.6797147940625970E-001                  2.4091274275684291E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571098278562308E-004                  6.5375611897529424E-003                  1.4751436645041001E-005                  7.1800000000000008E-001                  2.2975999999515762E+000                  8.5750873408195805E-001                  7.7092077680564926E-003                  2.0920195806768498E-002                 -2.1324229042878258E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0036662711529620E-020                  5.4780137839202112E+000                 -4.2631354970250799E+000                  0.0000000000000000E+000                  9.3505428863879327E+000                  3.2482717397558432E+001                  3.1001652999263436E+047                 -4.1781524612780568E+047                 -1.0779871613517133E+047                  3.1001664429912007E+047                 -4.1781553058210319E+047                 -1.0779888590957232E+047                  1.7036404100990408E+041                  4.5684318466559496E+016                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7036404100999528E+041                                        0                                        0                                        5                  3.0061717129435571E+005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      30                  1.1818815689988476E-002                  3.1999999998397408E+000                 -2.7037438646188803E+000                                      524                  1.2476142189519091E-004                  9.9998619084640772E-001                  1.7267965897699220E-003                  2.4495560399184768E-005                  7.8136062064970702E-008                  9.9998619084640772E-001                  1.7267965897699220E-003                  2.4495560399184768E-005                  7.8136062064970702E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.6471760469923590E+003                  1.8963446701853435E+007                 -2.1324186613980228E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2501769929769212E-007                  1.6874569534487425E+003                  3.5999842067247090E+000                  3.2272327029145469E+000                  1.9369067744604818E+000                  1.0692257827903178E+000                  5.4780171631908088E+000                 -4.2631300860113122E+000                  9.3505517269530269E+000                 -1.0262596462712699E+001                  3.1643079446201233E-002                  6.1211678906831890E-001                  8.5899893522392012E-001                  1.2724989833994209E+000                  2.8150695288521288E+001                  1.0038049100691425E-020                  7.1800000000000008E-001                  2.6797147940625970E-001                  2.4091274275684291E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571098278562308E-004                  6.5375611897529416E-003                  1.4751436645041003E-005                  7.1800000000000008E-001                  2.2975999998849335E+000                  8.5750873405708561E-001                  7.7092077678328928E-003                  2.0920195806161716E-002                 -2.1324186613980228E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0038049100691425E-020                  5.4780171631908088E+000                 -4.2631300860113122E+000                  0.0000000000000000E+000                  9.3505517269530287E+000                  3.2482138788031044E+001                  3.1001733706412022E+047                 -4.1781729114290025E+047                 -1.0779995407878003E+047                  3.1001759667014484E+047                 -4.1781795548014945E+047                 -1.0780035866331204E+047                  4.0470179102215639E+041                  1.1368830969411875E+017                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.0470179102215902E+041                                        0                                        0                                        4                  3.0061951042313292E+005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      35                  2.9483411457712123E-002                  3.1999999996176864E+000                 -2.3078376343807565E+000                                      523                  1.2375679598112017E-004                  9.9998619084640772E-001                  1.7267946642802023E-003                  2.4495560400406013E-005                  7.8136061620881492E-008                  9.9998619084640772E-001                  1.7267946642802023E-003                  2.4495560400406013E-005                  7.8136061620881492E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.6975907961692546E+003                  1.9522844683550265E+007                 -2.1324073327716526E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2501769857847414E-007                  1.6391053924195544E+003                  3.5970613357344088E+000                  3.2146068790584184E+000                  1.9364396045130181E+000                  1.0701601226551083E+000                  5.4780252685769586E+000                 -4.2631173657835921E+000                  9.3505726758329821E+000                 -1.0262595021340049E+001                  3.1642797817537011E-002                  6.1211678124537072E-001                  8.5899893522392023E-001                  1.2724989833994209E+000                  1.2128579830962487E+001                  1.0041369196499344E-020                  7.1800000000000008E-001                  2.6797147940625970E-001                  2.4091274275684291E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571098278562308E-004                  6.5375611897529424E-003                  1.4751436645041000E-005                  7.1800000000000019E-001                  2.2975999997255014E+000                  8.5750873399758154E-001                  7.7092077672979353E-003                  2.0920195804710013E-002                 -2.1324073327716526E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0041369196499345E-020                  5.4780252685769586E+000                 -4.2631173657835921E+000                  0.0000000000000000E+000                  9.3505726758329821E+000                  3.2480736605786390E+001                  3.1001929463976741E+047                 -4.1782221471776030E+047                 -1.0780292007799289E+047                  3.1001997786109536E+047                 -4.1782387562644469E+047                 -1.0780389769264192E+047                  9.7817268854208378E+041                  2.8296669737202675E+017                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.7817268854208981E+041                                        0                                        0                                        3                  3.0062512104001979E+005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      40                  7.3438578398454205E-002                  3.1999999990776238E+000                 -1.9119314041426323E+000                                      522                  7.8375334888387225E-005                  9.9998619084640772E-001                  8.5869815460944382E-004                  1.7248488116683447E-005                  7.8136062064970702E-008                  9.9998846318128343E-001                  8.5869815460944382E-004                  1.7248488116683447E-005                  7.8136062064970702E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7241398026492345E+003                  1.9809537734364618E+007                 -2.1323762600826676E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2501769926791769E-007                  1.6153834794067411E+003                  3.5956826372446491E+000                  3.2082756370204883E+000                  1.9360313804735725E+000                  1.0709765706607037E+000                  5.4780460116173648E+000                 -4.2630848672144461E+000                  9.3506262334795007E+000                 -1.0262591456704794E+001                  3.1642075767442782E-002                  6.1211676122567371E-001                  8.5899893522392012E-001                  1.2724989833994209E+000                  1.1100529545852913E+001                  1.0049869518857556E-020                  7.1800000000000008E-001                  2.6797147940625970E-001                  2.4091274275684291E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571098278562308E-004                  6.5375611897529416E-003                  1.4751436645041003E-005                  7.1800000000000019E-001                  2.2975999993377356E+000                  8.5750873385286130E-001                  7.7092077659968554E-003                  2.0920195801179334E-002                 -2.1323762600826676E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0049869518857558E-020                  5.4780460116173648E+000                 -4.2630848672144461E+000                  0.0000000000000000E+000                  9.3506262334795007E+000                  3.2477145358812962E+001                  3.1002481008619935E+047                 -4.1783494824303844E+047                 -1.0781013815683909E+047                  3.1002683874159895E+047                 -4.1783937476954223E+047                 -1.0781253597844563E+047                  2.3987805619733979E+042                  7.0461564705351450E+017                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.3987805619733370E+042                                        0                                        0                                        3                  3.0063948002503166E+005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
