                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10398      9.0000000000000002E-001      1.4000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16 
                                star_age                                star_mass                             he_core_mass                              c_core_mass                                   log_LH                                  log_LHe                                 log_Teff                                    log_L                                    log_g                             log_center_T                           log_center_Rho                             center_gamma                                center_h1                               center_he4                               center_c12                               surface_h1 
                 1.0000000000000001E-005                  8.9999999999999958E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6753574129036970E+001                 -9.8999999999999986E+001                  3.6284126626493203E+000                  1.8107430458363203E+000                  2.0485217947081593E+000                  5.6998486863241355E+000                 -2.5232468724819159E+000                  7.2178572681702788E-002                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4091251279941914E-003                  7.1799999999999997E-001 
                 7.4416000000000000E-005                  8.9999999999999669E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6753574376035029E+001                 -9.8999999999999986E+001                  3.6273739373910061E+000                  1.8065118909364097E+000                  2.0485980485748092E+000                  5.6998487044184820E+000                 -2.5232468450193370E+000                  7.2178571195873495E-002                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4091251279941914E-003                  7.1799999999999997E-001 
                 2.5958682111999992E-004                  8.9999999999998881E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6753575010384765E+001                 -9.8999999999999986E+001                  3.6248233441390183E+000                  1.7961151062886525E+000                  2.0487924602146106E+000                  5.6998487516608067E+000                 -2.5232467733165986E+000                  7.2178567316593889E-002                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4091251279941914E-003                  7.1799999999999986E-001 
                 7.2035107872931792E-004                  8.9999999999997027E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6753576003507042E+001                 -9.8999999999999986E+001                  3.6203696551971847E+000                  1.7779289559680573E+000                  2.0491638547678628E+000                  5.6998488642945162E+000                 -2.5232466023640012E+000                  7.2178558067796370E-002                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4091251279941914E-003                  7.1799999999999986E-001 
                 1.8668799962237360E-003                  8.9999999999992641E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6753577985550560E+001                 -9.8999999999999986E+001                  3.6144645276126153E+000                  1.7537307175028212E+000                  2.0497415828948022E+000                  5.6998490457380662E+000                 -2.5232463269492449E+000                  7.2178543170102000E-002                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4091251279941914E-003                  7.1799999999999986E-001 
                 4.7198108322034464E-003                  8.9999999999982250E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6753580103445380E+001                 -9.8999999999999986E+001                  3.6088309059481167E+000                  1.7305002670652394E+000                  2.0504375466743383E+000                  5.6998493765594969E+000                 -2.5232458247467044E+000                  7.2178516010057495E-002                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4091251279941914E-003                  7.1799999999999997E-001 
                 1.1818815689988476E-002                  8.9999999999957592E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6753580981882038E+001                 -9.8999999999999986E+001                  3.6050370775644054E+000                  1.7146883982993453E+000                  2.0510741019052667E+000                  5.6998499562061600E+000                 -2.5232449446895355E+000                  7.2178468428773554E-002                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4091251279941914E-003                  7.1799999999999986E-001 
                 2.9483411457712123E-002                  8.9999999999897873E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6753576119533534E+001                 -9.8999999999999986E+001                  3.6032164542042633E+000                  1.7069650493556818E+000                  2.0515149574080769E+000                  5.6998510899150716E+000                 -2.5232432231920252E+000                  7.2178375379017584E-002                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4091251279941914E-003                  7.1799999999999975E-001 
                 7.3438578398454205E-002                  8.9999999999751157E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6753556354511975E+001                 -9.8999999999999986E+001                  3.6026193227435566E+000                  1.7043455285923583E+000                  2.0517459523278641E+000                  5.6998535913360291E+000                 -2.5232394245722829E+000                  7.2178170090569441E-002                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4091251279941914E-003                  7.1799999999999975E-001 
                 1.8281309940044160E-001                  8.9999999999387348E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6753509867618064E+001                 -9.8999999999999986E+001                  3.6024867054289320E+000                  1.7037210034511761E+000                  2.0518400082087926E+000                  5.6998594327673713E+000                 -2.5232305534596211E+000                  7.2177690716359710E-002                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4091251279941914E-003                  7.1799999999999975E-001 
                 4.5497190750010674E-001                  8.9999999998482805E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6753391845085190E+001                 -9.8999999999999986E+001                  3.6024698665761168E+000                  1.7036214469565805E+000                  2.0518722092877630E+000                  5.6998723375438969E+000                 -2.5232109537379954E+000                  7.2176631804954233E-002                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4091251279941914E-003                  7.1799999999999986E-001 
                 1.1321901128706655E+000                  8.9999999996232294E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6753076199822676E+001                 -9.8999999999999986E+001                  3.6024710928505508E+000                  1.7035860918464623E+000                  2.0519124694847579E+000                  5.6999021987341942E+000                 -2.5231655978491645E+000                  7.2174181738562312E-002                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4091251279941914E-003                  7.1799999999999986E-001 
                 2.8173257176583335E+000                  8.9999999990633484E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6752283599037806E+001                 -9.8999999999999986E+001                  3.6024757566435293E+000                  1.7035049981069352E+000                  2.0520122183691814E+000                  5.6999756459726738E+000                 -2.5230540384239748E+000                  7.2168155915564816E-002                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4091251279941914E-003                  7.1799999999999986E-001 
                 7.0104823457635836E+000                  8.9999999976708489E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6750312177056454E+001                 -9.8999999999999986E+001                  3.6024873135878090E+000                  1.7033028941415693E+000                  2.0522605500444731E+000                  5.7001582312233445E+000                 -2.5227767087730344E+000                  7.2153178268986581E-002                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4091251279941914E-003                  7.1799999999999986E-001 
                 1.7444397846610439E+001                  8.9999999942099873E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6745418011318574E+001                 -9.8999999999999986E+001                  3.6025160234992377E+000                  1.7028007231369509E+000                  2.0528775605277993E+000                  5.7006123942973348E+000                 -2.5220868784189596E+000                  7.2115936297173888E-002                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4091251279941914E-003                  7.1799999999999997E-001 
